trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
313,False,"{'a': 0.5, 'e': 0.04346910660022088}",25,10,28.009868288567738,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.04303441553421867}",20,9,21.073567895933127,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.5, 'e': 0.04260407137887648}",20,12,9.196445466149886,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.5, 'e': 0.04217803066508771}",30,5,-25.16054916680544,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",1
317,False,"{'a': 0.5, 'e': 0.04175625035843684}",25,13,22.227566155327438,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.041338687854852466}",25,10,27.82053747513797,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.040925300976303945}",20,12,15.267457227663083,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.5, 'e': 0.0405160479665409}",25,3,-12.325103865005621,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
321,False,"{'a': 0.5, 'e': 0.040110887486875496}",20,6,25.660175932783314,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.5, 'e': 0.03970977861200674}",20,6,18.410746143171856,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.5, 'e': 0.039312680825886674}",20,11,16.58874570602934,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.038919554017627804}",20,13,15.168231214974737,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.03853035847745152}",30,13,21.13580086519866,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.03814505489267701}",20,14,10.701251094808683,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.5, 'e': 0.03776360434375024}",25,20,9.711401037116783,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.5, 'e': 0.03738596830031274}",30,8,41.34544155543882,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.5, 'e': 0.03701210861730961}",30,16,27.59013053884663,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.5, 'e': 0.03664198753113651}",25,18,6.086893146870755,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.5, 'e': 0.036275567655825146}",20,11,15.633124667544301,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.5, 'e': 0.03591281197926689}",25,10,26.969924819798763,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.5, 'e': 0.03555368385947423}",35,25,17.681449870332326,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.5, 'e': 0.035198147020879485}",20,6,25.068721827038946,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.5, 'e': 0.03484616555067069}",20,6,25.711449307590016,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.5, 'e': 0.03449770389516398}",25,8,32.3248111639239,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.5, 'e': 0.03415272685621234}",25,17,16.85091698308587,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.5, 'e': 0.03381119958765022}",20,6,26.538333036837596,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.5, 'e': 0.03347308759177372}",20,2,28.03424193519985,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.5, 'e': 0.03313835671585598}",25,10,29.21935249427282,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.5, 'e': 0.03280697314869742}",20,16,7.553488044855786,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.5, 'e': 0.03247890341721044}",20,8,22.269410539337347,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.5, 'e': 0.03215411438303834}",30,8,18.13437729004676,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
344,False,"{'a': 0.5, 'e': 0.031832573239207955}",20,2,32.27726037301251,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.5, 'e': 0.031514247506815876}",20,0,20.483065050769376,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
346,False,"{'a': 0.5, 'e': 0.031199105031747717}",20,8,12.151859347555808,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
347,False,"{'a': 0.5, 'e': 0.03088711398143024}",35,13,34.2262273059537,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.5, 'e': 0.030578242841615935}",30,12,25.819092570101354,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.5, 'e': 0.030272460413199778}",20,14,11.991491210752105,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.5, 'e': 0.02996973580906778}",20,2,27.41703968882337,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.5, 'e': 0.0296700384509771}",25,14,22.255778380553227,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.5, 'e': 0.02937333806646733}",25,6,31.055222890466837,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.5, 'e': 0.029079604685802656}",20,0,30.69740989386483,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.5, 'e': 0.02878880863894463}",20,6,28.39930112500356,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.5, 'e': 0.02850092055255518}",30,16,16.0454519471526,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
356,False,"{'a': 0.5, 'e': 0.02821591134702963}",20,7,21.775740922084697,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.5, 'e': 0.027933752233559334}",25,15,20.693264675428686,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.5, 'e': 0.027654414711223742}",30,3,41.261334420833506,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.5, 'e': 0.027377870564111503}",20,0,30.107110014048615,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
360,False,"{'a': 0.5, 'e': 0.027104091858470385}",20,10,16.6012009667612,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.5, 'e': 0.026833050939885684}",25,10,24.887337402245947,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.5, 'e': 0.026564720430486827}",25,8,-16.18883536522294,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
363,False,"{'a': 0.5, 'e': 0.026299073226181958}",35,22,21.149312413213096,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.5, 'e': 0.026036082493920136}",30,17,28.074786553405964,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.5, 'e': 0.025775721668980935}",25,15,16.803680148240616,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.5, 'e': 0.025517964452291125}",30,12,30.33431565455965,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
